,b,w_-1
0,0.0,0.0
1,0.0,0.0
2,-1.0876360950104578,1.0876360950104578
3,-1.658372550523141,1.658372550523141
4,-0.34959498072128464,0.34959498072128464
5,-1.4342129535503387,-0.7410592364705767
6,-1.995007414751328,-0.8965579286597958
7,-1.8601626926080306,-1.4546951356314715
8,-2.126084811891022,-1.720619703775046
9,-2.0972819864039667,-2.0972819443119377
10,-2.2806740223420654,-2.280674022342061
11,-2.5587330317465935,-2.271050961611021
12,-2.520755978667406,-2.5207559785938027
13,-2.6342432526064337,-2.6342432526064337
14,-2.615177220646365,-2.838320771957126
15,-0.5853309061180839,-0.8084744574322936
16,-0.6931290474864897,-0.9162725988006994
17,-0.6019863988715768,-1.007451506979458
18,-0.6931352507602327,-1.098600358868397
19,-0.8047189545431052,-0.9870405113370646
20,-0.7276436163031863,-1.064115852924399
21,-0.8047105825750889,-1.1411828191963018
22,-0.7379532589365873,-1.2079568881823226
23,-0.8047126799070675,-1.2747163091528029
24,-0.8958797339899117,-1.1835618064416928
25,-0.9729550745275948,-1.1064864671521173
26,-0.914063556699465,-1.165377984980371
27,-0.9729501435884691,-1.2242645718693754
28,-0.9202748162642076,-1.27694976020294
29,-0.5737012359940628,-0.9303761799327952
30,-0.37096867236724934,-0.7276436163059818
31,-0.4236489301933355,-0.7803238741320679
32,-0.3759938402914394,-0.8279789640344966
33,-0.4236489301934744,-0.8756340539365315
34,-0.3801432416987867,-0.9191397424314738
35,-0.42364893019353506,-0.962645430926222
36,-0.3836275763568336,-1.002666784763057
37,-0.42364893019356403,-1.0426881385997875
38,-0.3865949441167408,-1.079742124676686
39,-0.423648930193579,-1.1167961107535245
40,-0.389152494450126,-1.1512925464970227
41,-0.24531145822423575,-1.0074515102711326
42,-0.27980789396771116,-1.041947946014608
43,-0.24753863339892562,-1.074217206583394
44,-0.2798078939677112,-1.106486467152179
45,-0.34657359027997253,-1.0397207708399179
46,-0.40546510810816433,-0.9808292530117262
47,-0.45814536593707755,-0.9281489951828129
48,-0.5058004558392398,-0.8804939052806507
49,-0.5493061443340548,-0.8369882167858358
50,-0.589327498170823,-0.7969668629490676
51,-0.626381484247684,-0.7599128768722065
52,-0.6608779199911596,-0.7254164411287309
53,-0.6931471805599453,-0.6931471805599453
54,-0.662834869651728,-0.7234594914681626
55,-0.5512630939946233,-0.6118877158110579
56,-0.46010231559764564,-0.5207269374140804
57,-0.3830269756840166,-0.4436515975004516
58,-0.31626127937175524,-0.37688590118819
59,-0.25736976154356345,-0.31799438335999825
60,-0.2046895037146504,-0.2653141255310852
61,-0.23500181462286773,-0.2956264364393026
62,-0.2064226077028934,-0.3242056433592769
63,-0.2350018146228678,-0.3527848502792513
64,-0.20796820398773014,-0.37981846091438903
65,-0.2350018146228677,-0.406852071549527
66,-0.26531412553108535,-0.3765397606413094
67,-0.29389333245105953,-0.3479605537213352
68,-0.32092694308619757,-0.32092694308619746
69,-0.2952802958924221,-0.3465735902799727
70,-0.32092694308619724,-0.37222023747374783
71,-0.2965318610014815,-0.3966153195584637
72,-0.24887677109931886,-0.3489602296563016
73,-0.20537108260450412,-0.3054545411614865
74,-0.16534972876773596,-0.26543318732471843
75,-0.1897448108524519,-0.2898282694094343
76,-0.16648480303500543,-0.3130882772268808
77,-0.18974481085245187,-0.33634828504432723
78,-0.16751892956703482,-0.3585741663297442
79,-0.1897448108524517,-0.3808000476151612
80,-0.21539145804622734,-0.35515340042138577
81,-0.23978654013094314,-0.3307583183366699
82,-0.2630465479483896,-0.3074983105192236
83,-0.2852724292338067,-0.2852724292338064
84,-0.26399262202440865,-0.30655223644320445
85,-0.2852724292338064,-0.3278320436526022
86,-0.264861431973679,-0.34824304091272984
87,-0.2852724292338066,-0.3686540381728576
88,-0.26566207265716574,-0.3882643947494981
89,-0.22860808658030496,-0.3512104086726371
90,-0.19411165083682932,-0.31671397292916126
91,-0.16184239026804356,-0.2844447123603761
92,-0.13153007935982627,-0.2541324014521587
93,-0.1511404359364668,-0.2737427580287992
94,-0.13227027194504326,-0.2926129220202228
95,-0.15114043593646695,-0.3114830860116462
96,-0.1329566138510291,-0.32966690809708366
97,-0.1043774069310552,-0.30108770117710937
98,-0.12256122901649245,-0.31927152326254643
99,-0.1438410362258905,-0.2979917160531488
100,-0.1262953763202554,-0.3155373759587836
101,-0.1438410362258904,-0.33308303586441873
102,-0.12689026038804962,-0.35003381170225956
103,-0.0998566497529118,-0.3230002010671217
104,-0.0742100025591366,-0.2973535538733463
105,-0.04981492047442047,-0.2729584717886303
106,-0.06676569631226134,-0.289909247626471
107,-0.050370784900766,-0.3063041590379664
108,-0.027110777083319264,-0.28304415122051985
109,-0.004884895797902368,-0.260818269935103
110,0.016394911411495607,-0.2395384627257052
111,0.03680590867162327,-0.21912746546557738
112,0.020410997260127562,-0.23552237687707317
113,0.03628534641741804,-0.2513967260343628
114,0.020410997260127395,-0.2672710751916535
115,-5.456793817707711e-17,-0.246860077931526
116,-0.01961035657664066,-0.22724972135488555
117,-0.03848052056806423,-0.2083795573634618
118,-0.02309469123468719,-0.22376538669683868
119,-0.00348433465804665,-0.20415503012019773
120,0.01538582933337695,-0.18528486612877404
121,6.267975112833847e-17,-0.20067069546215147
122,-0.01818382208543701,-0.18248687337671374
123,-0.003257340510596872,-0.19741335495155413
124,0.014926481574840637,-0.17922953286611695
125,0.03247214148047576,-0.16168387296048156
126,0.017545659905635346,-0.17661035453532248
127,-4.233011821867903e-16,-0.15906469462968742
128,0.014493768436625842,-0.1735584630663136
129,2.212408592800643e-16,-0.1880522315029403
130,0.014085438483347966,-0.20213766998628754
131,9.677410558886902e-17,-0.21622310846963586
132,-0.016950775837841117,-0.19927233263179553
133,-0.03334568724933645,-0.18287742122030018
134,-0.019646200155278803,-0.19657690831435692
135,-0.03334568724933648,-0.21027639540841464
136,-0.04922003640662652,-0.19440204625112437
137,-0.06460586574000593,-0.1790162169177445
138,-0.07953234731495276,-0.16408973534279803
139,-0.09402611575457438,-0.1495959669031767
140,-0.10811155430718809,-0.13551052835056254
141,-0.09477742952150771,-0.14884465313624184
142,-0.07782665485589717,-0.13189387612617165
143,-0.06143174344440096,-0.11549896471467744
144,-0.045557394287111454,-0.09962461555738712
145,-0.058891517828192796,-0.11295873909846808
146,-0.0459037578499421,-0.12594649907671618
147,-0.030517945293151365,-0.11056065296664574
148,-0.015591463716440187,-0.09563417138997667
149,-0.028579206944763808,-0.10862191461830001
150,-0.01592009385019824,-0.12128102766328715
151,-0.0014265337026534474,-0.10678704935357498
152,0.012658922162504147,-0.09270159349532249
153,0.02635874049583461,-0.07900177516199039
154,0.039698235206453325,-0.06566228045137419
155,0.05276106804139725,-0.05259944761642785
156,0.06633060975334619,-0.03902990590448126
157,0.03919476014940211,-0.06616575550842307
158,0.05230279963409993,-0.025649847811050345
159,0.0381991535010075,-0.06454505471385028
160,0.04821684660234388,-0.05443697904626979
161,-0.06660533165225546,-0.14096763682186444
162,0.19177585721196005,0.16308424502603477
163,-0.03190719758224253,-0.3789627068110695
164,0.10143055648832616,0.38790399331911096
165,0.014809326961720819,-0.6090789342973332
166,0.1148632721684563,0.5300350121693321
167,-0.07728489909407696,-0.7011971391113464
168,0.2416564773571325,0.6568282198544165
169,-0.13468898775718763,-0.758601227774747
170,0.3485960904099316,0.7637678329072141
171,-0.20877424823117013,-0.832686488248728
172,0.29190222753063644,0.8709965048145966
173,-0.08759765322963065,-0.9538630832502667
174,0.3058470293417793,0.9529129500999031
175,-0.1530786985208062,-1.0193441287814482
176,0.26205248735001563,1.037768750497208
177,-0.060153623951612056,-1.1122692033506418
178,0.2844760673107833,1.1065165849354826
179,-0.1195659261532977,-1.171681505552329
180,0.24492864585504504,1.1799198693137594
181,-0.06417434968019792,-1.2270730820254283
182,0.14098784280932275,1.2838606723594814
183,0.004286903070799042,-1.2955343347764272
184,0.1702767378577431,1.3426995651599969
185,-0.010357306414119277,-1.3101785442613438
186,0.22735954194819283,1.3997823692504465
187,-0.010876949974354178,-1.4018696022206207
188,0.22717143267713358,1.4230098514370668
189,-0.0392797402815773,-1.4641282554503798
190,0.170895070163998,1.4792862139502028
191,0.001227064880832629,-1.5117492381369082
192,0.25493491877502594,1.5633260625612306
193,-0.04494282385967474,-1.5579191268774142
194,0.21857367460610333,1.619502596676836
195,-0.019720254300620493,-1.5831416964364686
196,0.16733413777549253,1.6707421335074482
197,0.02435436385858597,-1.6258269202556133
198,0.24919463464693556,1.752602630378892
