,b,w_-1,w_-2,w_-3,w_-4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,-1.3821655286618362,-1.3821655286618362,-1.3821655286618362,1.3821655286618362,1.3821655286618362
6,-2.549338699295758,-0.3526583843645722,-2.549338699295758,0.3526583843645722,2.549338699295758
7,-2.004115330298895,-0.9162399107137964,-3.510934090926039,0.9162399107137964,3.510934090926039
8,-1.2166868421588157,-0.2599920120436274,-4.372002844424819,0.2599920120436274,4.372002844424819
9,-1.0635199034931804,-0.18480974004449233,-4.572204763070837,0.18480974004449233,4.572204763070837
10,2.5165110124509686,-1.8043550487496065,-3.066782294839299,1.8043550487496065,3.066782294839299
11,3.230895773668498,-1.8801532674383732,-3.511302851250609,1.9092653336004553,3.511302851250609
12,2.901951296921835,-2.800783702906197,-5.933878189655719,2.8399430119330975,2.611486108356088
13,2.784631350804478,-2.7153696473267996,-6.250765316609079,2.7553738476890954,2.6988901837077974
14,2.959673246059447,-2.8149942569442437,-6.7210984502913975,2.8573345214997725,2.6049383151609495
15,-0.34600463218669364,-3.6376539757984774,-5.900038877034221,3.697809195325971,1.7823388014123982
16,-0.3463694613944623,-3.5653894910405115,-5.975510075567427,3.9183063216214626,1.8550395902213888
17,-0.34636696446876203,-3.5592891736575423,-5.982489615986955,3.937541931922255,1.8611807047051039
18,-0.00037226958944345655,-3.4719298583019538,-6.070000609085635,3.853305556307408,1.9485459835374268
19,-0.00032264047729559786,-3.4719089994815038,-6.0700259586677525,3.853374631188127,1.9485670592519788
20,0.34656930378613127,-3.557747478871348,-5.984307712353948,3.942554458792519,1.8627357385442693
21,0.34660432092974625,-3.513494994053934,-6.033924344702589,4.080982239050041,1.9072986200446247
22,0.34659620613941133,-3.5123670232930357,-6.035301685155546,4.084630298548767,1.9084350794418377
23,0.14415849367313716,-3.460885301273238,-6.08697490678068,4.036465538239555,1.9599227980293377
24,-0.2884794692975131,2.4345259364944516,-3.477302103518483,3.0319397038610245,-2.4319379171879723
25,-0.2896888621295927,3.380828136945621,-3.9713850798668355,3.9763485020875655,-2.9289603633987706
26,-0.2909027679276914,5.313978578965524,-3.4104561178212527,5.91125527252156,-2.367232492444677
